meter_ref_no,cnic,consumer_name,installation_address,city,province,date,connection_type,sanctioned_load_kw,avg_monthly_bill_pkr,billing_month,billing_year,provider_disco
LESCO-77624981,61101-1000097-9,Ahmed Baig Sahib,"House 68, Street 17, Model Town, Lahore",Lahore,Punjab,2019-06-18,Residential,10,8707,6,2019,LESCO
SEPCO-52014814,35202-1001241-7,Fahad Mirza Sahib,"House 304, Street 23, Barrage Road, Sukkur",Sukkur,Sindh,2024-11-06,Residential,10,55566,4,2024,SEPCO
FESCO-41655344,61101-1001412-4,Umer Farooq,"House 515, Street 24, People Colony, Faisalabad",Faisalabad,Punjab,2023-07-27,Industrial,10,619436,9,2023,FESCO
FESCO-67055229,61101-1001412-4,U. Farooq,"House 515, Street 24, People Colony, Faisalabad",Faisalabad,Punjab,2025-04-13,Residential,7,56887,1,2025,FESCO
IESCO-53970075,33100-1000210-0,Waseem Akram,"House 207, Street 3, PWD, Rawalpindi",Rawalpindi,Punjab,2017-02-05,Residential,50,71028,8,2017,IESCO
IESCO-11716045,45501-1000141-7,Muhammad Ahmed,"House 469, Street 13, DHA Phase 2, Islamabad",Islamabad,Islamabad,2023-04-08,Residential,3,35768,8,2023,IESCO
IESCO-75149531,61101-1000757-9,M. Akhtar,"House 321, Street 12, Bahria Enclave, Islamabad",Islamabad,Islamabad,2019-10-21,Commercial,50,108012,8,2019,IESCO
IESCO-87984097,61101-1001812-4,Ahmed Baig,"House 360, Street 11, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2023-03-16,Commercial,25,56528,12,2023,IESCO
IESCO-63873350,61101-1001812-4,Ahmed Baig,"House 360, Street 11, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2018-11-16,Commercial,25,201488,6,2018,IESCO
IESCO-39047679,35202-1001571-7,Chaudhry Naveed Raza,"House 543, Street 6, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2019-11-18,Residential,7,62112,4,2019,IESCO
GEPCO-87635298,33100-1000904-8,Nida Hussain,"House 259, Street 11, Civil Lines, Gujranwala",Gujranwala,Punjab,2023-12-27,Residential,3,11297,6,2023,GEPCO
QESCO-58802400,61101-1001031-7,F. Mirza,"House 148, Street 23, Samungli Road, Quetta",Quetta,Balochistan,2020-12-24,Commercial,5,304233,8,2020,QESCO
MEPCO-29316568,42101-1000126-2,Taha Hussain,"House 609, Street 7, DHA Multan, Multan",Multan,Punjab,2016-02-04,Residential,3,20323,5,2016,MEPCO
PESCO-35755497,42101-1000283-1,Hassan Khan,"House 591, Street 25, Saddar, Peshawar",Peshawar,KPK,2016-10-05,Residential,50,20863,8,2016,PESCO
PESCO-92763638,42101-1000283-1,Hassan Khan Sahib,"House 591, Street 25, Saddar, Peshawar",Peshawar,KPK,2026-01-30,Residential,3,69764,3,2026,PESCO
MEPCO-95356341,17301-1001704-8,Laiba Khan,"House 283, Street 17, DHA Multan, Multan",Multan,Punjab,2023-08-23,Residential,7,32538,2,2023,MEPCO
MEPCO-99361655,17301-1001704-8,Laiba Khan,"House 283, Street 17, DHA Multan, Multan",Multan,Punjab,2025-07-20,Residential,5,69989,4,2025,MEPCO
IESCO-45151025,35202-1001494-8,Laiba Khan,"House 667, Street 26, DHA Phase 2, Islamabad",Islamabad,Islamabad,2018-02-23,Residential,7,33269,10,2018,IESCO
GEPCO-55357942,61101-1001802-4,Maham Tariq,"House 805, Street 16, Satellite Town, Gujranwala",Gujranwala,Punjab,2020-06-11,Commercial,3,303142,12,2020,GEPCO
GEPCO-36908934,61101-1001802-4,Maham Tariq,"House 805, Street 16, Satellite Town, Gujranwala",Gujranwala,Punjab,2017-09-17,Residential,3,72421,4,2017,GEPCO
GEPCO-51271979,54400-1001929-3,B. Ahmed,"House 476, Street 23, Satellite Town, Gujranwala",Gujranwala,Punjab,2023-10-12,Industrial,3,299323,10,2023,GEPCO
GEPCO-90340803,33100-1000285-5,Usman Malik,"House 838, Street 34, Peoples Colony, Gujranwala",Gujranwala,Punjab,2016-05-28,Residential,25,40669,8,2016,GEPCO
GEPCO-63709827,33100-1000285-5,Usman Malik,"House 838, Street 34, Peoples Colony, Gujranwala",Gujranwala,Punjab,2019-08-09,Residential,15,13681,11,2019,GEPCO
IESCO-73388580,42101-1001703-1,Asad Iqbal,"House 543, Street 2, DHA Phase 2, Islamabad",Islamabad,Islamabad,2023-01-02,Residential,3,58187,1,2023,IESCO
PESCO-28465117,17301-1001570-0,Huma Ghani,"House 393, Street 29, Warsak Road, Peshawar",Peshawar,KPK,2020-07-14,Residential,7,4172,1,2020,PESCO
K-86355322,45501-1000398-6,H. Shah,"House 356, Street 11, DHA Phase 6, Karachi",Karachi,Sindh,2018-02-10,Residential,25,71190,3,2018,K-Electric
MEPCO-15140544,61101-1000548-6,Asad Iqbal,"House 159, Street 14, Gulgasht, Multan",Multan,Punjab,2017-06-24,Residential,15,36654,4,2017,MEPCO
SEPCO-97914711,17301-1000827-9,Muneeb Akhtar,"House 44, Street 20, Barrage Road, Sukkur",Sukkur,Sindh,2017-03-22,Residential,3,31795,6,2017,SEPCO
PESCO-87998651,33100-1000657-9,A. Baig,"House 859, Street 16, Gulbahar, Peshawar",Peshawar,KPK,2023-12-31,Residential,10,10758,9,2023,PESCO
PESCO-87354274,33100-1000657-9,Ahmed Baig,"House 859, Street 16, Gulbahar, Peshawar",Peshawar,KPK,2022-04-11,Industrial,3,381712,11,2022,PESCO
QESCO-79272103,61101-1000590-0,Huma Ghani,"House 72, Street 14, Brewery Road, Quetta",Quetta,Balochistan,2023-03-07,Residential,25,22171,5,2023,QESCO
IESCO-33213116,42101-1001307-9,U. Farooq,"House 330, Street 15, G-11, Islamabad",Islamabad,Islamabad,2021-07-19,Residential,7,72773,11,2021,IESCO
GEPCO-65323810,17301-1000860-0,Chaudhry Imran Siddiqui,"House 158, Street 24, Satellite Town, Gujranwala",Gujranwala,Punjab,2018-05-27,Commercial,15,239705,1,2018,GEPCO
HESCO-60104512,61101-1001371-7,Hamza Sheikh Sahib,"House 74, Street 14, Qasimabad, Hyderabad",Hyderabad,Sindh,2018-05-05,Residential,3,5384,8,2018,HESCO
GEPCO-12217120,45501-1001246-2,Taha Hussain,"House 533, Street 32, Model Town, Gujranwala",Gujranwala,Punjab,2022-01-17,Residential,5,52514,10,2022,GEPCO
HESCO-53007792,33100-1000090-0,Imran Siddiqui Sahib,"House 12, Street 19, Qasimabad, Hyderabad",Hyderabad,Sindh,2021-07-17,Residential,5,8220,8,2021,HESCO
FESCO-18599655,61101-1000120-0,D. Butt,"House 430, Street 12, Gulberg, Faisalabad",Faisalabad,Punjab,2018-10-03,Commercial,50,283550,2,2018,FESCO
MEPCO-66042293,33100-1001967-9,Ayesha Khan,"House 624, Street 13, Cantt, Multan",Multan,Punjab,2022-06-14,Residential,3,35427,12,2022,MEPCO
QESCO-25806416,35202-1001729-3,Nimra Aslam,"House 898, Street 12, Cantt, Quetta",Quetta,Balochistan,2024-05-19,Residential,10,37649,4,2024,QESCO
K-92353284,61101-1001226-2,Muhammad Ahmed Sahib,"House 34, Street 23, Nazimabad, Karachi",Karachi,Sindh,2018-10-29,Residential,3,61973,4,2018,K-Electric
SEPCO-17511147,42101-1001212-4,Chaudhry Muneeb Akhtar,"House 430, Street 17, Military Road, Sukkur",Sukkur,Sindh,2016-08-24,Residential,25,64255,1,2016,SEPCO
FESCO-21369237,61101-1000075-5,U. Malik,"House 228, Street 25, Madina Town, Faisalabad",Faisalabad,Punjab,2026-11-29,Residential,7,50285,11,2026,FESCO
HESCO-18634671,17301-1000652-4,Chaudhry Muneeb Akhtar,"House 653, Street 22, Hussainabad, Hyderabad",Hyderabad,Sindh,2024-09-04,Residential,5,57963,1,2024,HESCO
LESCO-13552604,54400-1001386-2,Taha Hussain,"House 754, Street 13, Johar Town, Lahore",Lahore,Punjab,2023-02-05,Residential,25,48278,5,2023,LESCO
LESCO-17464769,54400-1001386-2,Taha Hussain Sahib,"House 754, Street 13, Johar Town, Lahore",Lahore,Punjab,2025-01-02,Residential,15,6308,6,2025,LESCO
IESCO-35498185,33100-1000758-6,A. Iqbal,"House 317, Street 26, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2022-04-13,Residential,15,18401,11,2022,IESCO
IESCO-58175303,42101-1001213-1,Asad Iqbal,"House 252, Street 1, E-11, Islamabad",Islamabad,Islamabad,2021-07-19,Residential,50,49789,11,2021,IESCO
SEPCO-93212492,45501-1001365-5,Chaudhry Waseem Akram,"House 666, Street 8, Queens Road, Sukkur",Sukkur,Sindh,2020-01-14,Residential,5,49005,7,2020,SEPCO
PESCO-15265547,61101-1000341-7,Mariam Malik Sahib,"House 602, Street 4, Hayatabad, Peshawar",Peshawar,KPK,2017-04-23,Residential,50,55416,3,2017,PESCO
IESCO-19991235,33100-1001282-4,Muneeb Akhtar,"House 255, Street 27, PWD, Rawalpindi",Rawalpindi,Punjab,2018-11-12,Industrial,7,753837,10,2018,IESCO
IESCO-47754505,42101-1000271-7,Chaudhry Mariam Malik,"House 842, Street 10, F-10, Islamabad",Islamabad,Islamabad,2023-10-28,Residential,10,5188,1,2023,IESCO
IESCO-88150133,54400-1000370-0,Imran Siddiqui Sahib,"House 647, Street 2, G-11, Islamabad",Islamabad,Islamabad,2017-08-23,Commercial,7,121220,8,2017,IESCO
IESCO-47660021,54400-1000370-0,Imran Siddiqui,"House 647, Street 2, G-11, Islamabad",Islamabad,Islamabad,2016-05-21,Residential,50,27619,4,2016,IESCO
IESCO-50786529,54400-1000394-8,Sana Iqbal Sahib,"House 874, Street 7, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2019-05-15,Residential,7,28729,6,2019,IESCO
QESCO-12012097,17301-1000481-7,Chaudhry Mariam Malik,"House 517, Street 14, Jinnah Town, Quetta",Quetta,Balochistan,2022-05-18,Commercial,15,352317,7,2022,QESCO
IESCO-93152308,17301-1000936-2,M. Malik,"House 279, Street 21, DHA Phase 2, Islamabad",Islamabad,Islamabad,2020-02-25,Commercial,7,345429,6,2020,IESCO
IESCO-78078818,35202-1000680-0,D. Butt,"House 974, Street 17, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2023-07-03,Commercial,5,72756,8,2023,IESCO
HESCO-25393275,54400-1001753-1,H. Khan,"House 15, Street 1, Qasimabad, Hyderabad",Hyderabad,Sindh,2023-10-18,Residential,10,18926,7,2023,HESCO
IESCO-14979766,54400-1000705-5,U. Malik,"House 479, Street 21, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2016-09-22,Commercial,7,196912,8,2016,IESCO
FESCO-39552640,17301-1000514-8,Laiba Khan,"House 741, Street 6, People Colony, Faisalabad",Faisalabad,Punjab,2024-10-14,Commercial,50,56745,7,2024,FESCO
MEPCO-60744736,61101-1001696-2,Fahad Mirza,"House 595, Street 26, DHA Multan, Multan",Multan,Punjab,2021-12-10,Residential,10,29269,7,2021,MEPCO
HESCO-29319038,45501-1000136-2,Naveed Raza,"House 459, Street 15, Qasimabad, Hyderabad",Hyderabad,Sindh,2020-10-13,Residential,25,5634,11,2020,HESCO
PESCO-69240368,35202-1001905-5,Danish Butt,"House 549, Street 15, Saddar, Peshawar",Peshawar,KPK,2023-05-24,Residential,15,7096,7,2023,PESCO
SEPCO-76011541,17301-1001425-5,Sara Ahmed,"House 910, Street 31, Queens Road, Sukkur",Sukkur,Sindh,2024-09-09,Residential,7,25933,2,2024,SEPCO
IESCO-24644135,42101-1001255-5,H. Ghani,"House 886, Street 16, E-11, Islamabad",Islamabad,Islamabad,2026-04-25,Commercial,5,68452,11,2026,IESCO
PESCO-21525044,45501-1001699-3,Rabia Noor,"House 914, Street 21, Hayatabad, Peshawar",Peshawar,KPK,2025-09-14,Commercial,50,110360,2,2025,PESCO
SEPCO-95080391,35202-1001841-7,Taha Hussain Sahib,"House 838, Street 35, Rohri, Sukkur",Sukkur,Sindh,2016-10-21,Residential,25,53586,9,2016,SEPCO
PESCO-56458450,54400-1001987-9,A. Baig,"House 280, Street 33, University Road, Peshawar",Peshawar,KPK,2024-09-30,Residential,50,14293,8,2024,PESCO
HESCO-16682782,61101-1000673-1,Fatima Ali Sahib,"House 529, Street 31, Saddar, Hyderabad",Hyderabad,Sindh,2025-05-24,Residential,15,41902,2,2025,HESCO
MEPCO-83158695,17301-1000604-8,Sana Iqbal,"House 447, Street 32, Bosan Road, Multan",Multan,Punjab,2026-05-26,Commercial,50,251865,2,2026,MEPCO
HESCO-33424452,61101-1001898-6,F. Ali,"House 407, Street 33, Hussainabad, Hyderabad",Hyderabad,Sindh,2020-12-23,Residential,50,57160,11,2020,HESCO
IESCO-27589730,42101-1000643-1,H. Shah,"House 756, Street 10, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2018-11-13,Residential,15,18890,10,2018,IESCO
HESCO-40208956,42101-1001584-8,Chaudhry Sana Iqbal,"House 788, Street 14, Saddar, Hyderabad",Hyderabad,Sindh,2019-02-03,Residential,10,49405,6,2019,HESCO
HESCO-92135150,42101-1001584-8,S. Iqbal,"House 788, Street 14, Saddar, Hyderabad",Hyderabad,Sindh,2022-02-08,Commercial,10,106557,1,2022,HESCO
SEPCO-93905866,42101-1000204-8,N. Hussain,"House 66, Street 16, Barrage Road, Sukkur",Sukkur,Sindh,2026-07-26,Residential,25,4551,6,2026,SEPCO
SEPCO-24385078,42101-1000204-8,Nida Hussain Sahib,"House 66, Street 16, Barrage Road, Sukkur",Sukkur,Sindh,2018-05-24,Residential,7,54312,11,2018,SEPCO
K-27510702,61101-1000841-7,Chaudhry Muhammad Ahmed,"House 510, Street 9, DHA Phase 6, Karachi",Karachi,Sindh,2019-04-11,Residential,7,30532,4,2019,K-Electric
GEPCO-57241060,42101-1001037-9,M. Akhtar,"House 640, Street 35, Wapda Town, Gujranwala",Gujranwala,Punjab,2017-09-09,Residential,50,21610,10,2017,GEPCO
IESCO-44907003,42101-1001300-0,Usman Malik,"House 122, Street 7, Chaklala, Rawalpindi",Rawalpindi,Punjab,2024-08-29,Residential,3,55304,11,2024,IESCO
IESCO-61062053,42101-1001300-0,U. Malik,"House 122, Street 7, Chaklala, Rawalpindi",Rawalpindi,Punjab,2022-09-21,Residential,15,26731,7,2022,IESCO
LESCO-12923754,33100-1001715-5,Chaudhry Waseem Akram,"House 264, Street 13, Johar Town, Lahore",Lahore,Punjab,2024-07-12,Commercial,3,331303,5,2024,LESCO
PESCO-41885333,17301-1001835-5,D. Butt,"House 356, Street 21, University Road, Peshawar",Peshawar,KPK,2025-05-05,Residential,5,6385,5,2025,PESCO
PESCO-76544812,17301-1001835-5,Danish Butt,"House 356, Street 21, University Road, Peshawar",Peshawar,KPK,2022-10-18,Residential,50,60665,2,2022,PESCO
GEPCO-53685478,35202-1001676-2,Chaudhry Naveed Raza,"House 735, Street 29, Peoples Colony, Gujranwala",Gujranwala,Punjab,2026-06-11,Residential,5,74252,5,2026,GEPCO
FESCO-30110634,54400-1001034-8,R. Noor,"House 221, Street 33, Canal Road, Faisalabad",Faisalabad,Punjab,2017-06-04,Residential,5,16638,3,2017,FESCO
GEPCO-81026326,17301-1000260-0,Danish Butt,"House 312, Street 6, Peoples Colony, Gujranwala",Gujranwala,Punjab,2024-04-28,Residential,5,46736,1,2024,GEPCO
MEPCO-53669270,61101-1000303-1,Asad Iqbal,"House 895, Street 24, Shah Rukn-e-Alam, Multan",Multan,Punjab,2023-06-16,Residential,25,20048,5,2023,MEPCO
MEPCO-27862294,61101-1000303-1,Chaudhry Asad Iqbal,"House 895, Street 24, Shah Rukn-e-Alam, Multan",Multan,Punjab,2019-12-20,Residential,7,68207,3,2019,MEPCO
QESCO-80271450,61101-1000919-3,Sana Iqbal Sahib,"House 952, Street 21, Brewery Road, Quetta",Quetta,Balochistan,2022-08-10,Commercial,10,269625,5,2022,QESCO
MEPCO-38723177,45501-1000928-6,Kashif Javed Sahib,"House 160, Street 1, Cantt, Multan",Multan,Punjab,2021-02-08,Commercial,5,319292,5,2021,MEPCO
GEPCO-14120455,17301-1001247-9,Chaudhry Muneeb Akhtar,"House 780, Street 8, Wapda Town, Gujranwala",Gujranwala,Punjab,2022-04-30,Residential,25,12795,8,2022,GEPCO
MEPCO-29245377,42101-1000478-6,Chaudhry Asad Iqbal,"House 603, Street 9, Shah Rukn-e-Alam, Multan",Multan,Punjab,2020-12-27,Residential,3,48791,5,2020,MEPCO
GEPCO-52238811,61101-1000380-0,H. Ghani,"House 619, Street 28, Civil Lines, Gujranwala",Gujranwala,Punjab,2016-08-15,Commercial,50,143026,5,2016,GEPCO
K-12588560,61101-1000452-4,Khalid Malik Sahib,"House 821, Street 33, Bahadurabad, Karachi",Karachi,Sindh,2024-11-19,Residential,50,3280,8,2024,K-Electric
HESCO-61554202,61101-1001060-0,Chaudhry Zainab Ahmed,"House 599, Street 32, Qasimabad, Hyderabad",Hyderabad,Sindh,2018-07-10,Residential,5,45184,12,2018,HESCO
HESCO-41132170,61101-1001498-6,K. Qureshi,"House 281, Street 17, Latifabad, Hyderabad",Hyderabad,Sindh,2017-03-31,Residential,5,3606,3,2017,HESCO
GEPCO-71828340,35202-1000119-3,Chaudhry Nimra Aslam,"House 810, Street 20, Model Town, Gujranwala",Gujranwala,Punjab,2021-01-12,Residential,50,12826,10,2021,GEPCO
HESCO-60069029,35202-1000111-7,Hamza Sheikh,"House 929, Street 5, Saddar, Hyderabad",Hyderabad,Sindh,2019-11-18,Residential,50,51457,1,2019,HESCO
SEPCO-52852393,61101-1001521-7,Fahad Mirza Sahib,"House 154, Street 3, Rohri, Sukkur",Sukkur,Sindh,2023-04-22,Residential,25,42140,12,2023,SEPCO
SEPCO-65072565,17301-1001543-1,Hassan Khan,"House 626, Street 7, Barrage Road, Sukkur",Sukkur,Sindh,2024-04-06,Residential,10,10791,9,2024,SEPCO
SEPCO-89402668,61101-1000368-6,K. Javed,"House 915, Street 34, Queens Road, Sukkur",Sukkur,Sindh,2020-11-07,Residential,25,47434,4,2020,SEPCO
PESCO-35884409,35202-1000080-0,Zainab Ahmed,"House 687, Street 26, Hayatabad, Peshawar",Peshawar,KPK,2020-05-14,Residential,15,23410,11,2020,PESCO
PESCO-46565940,35202-1000080-0,Zainab Ahmed,"House 687, Street 26, Hayatabad, Peshawar",Peshawar,KPK,2020-05-07,Residential,50,49912,8,2020,PESCO
QESCO-57008290,45501-1000325-5,Chaudhry Zainab Ahmed,"House 994, Street 16, Jinnah Town, Quetta",Quetta,Balochistan,2025-05-11,Residential,7,28030,5,2025,QESCO
GEPCO-17085490,54400-1000702-4,Ali Raza,"House 603, Street 26, Peoples Colony, Gujranwala",Gujranwala,Punjab,2017-09-22,Residential,25,5203,1,2017,GEPCO
LESCO-97791974,45501-1000447-9,Ahmed Baig,"House 973, Street 33, Model Town, Lahore",Lahore,Punjab,2017-06-06,Residential,25,16967,4,2017,LESCO
LESCO-26868267,17301-1001103-1,Kashif Javed Sahib,"House 195, Street 3, Bahria Town, Lahore",Lahore,Punjab,2023-09-18,Residential,25,37809,7,2023,LESCO
PESCO-19381392,35202-1000850-0,Zainab Ahmed Sahib,"House 93, Street 23, Hayatabad, Peshawar",Peshawar,KPK,2017-03-02,Commercial,10,345732,3,2017,PESCO
LESCO-17838651,42101-1001847-9,Ahmed Baig,"House 474, Street 19, Gulberg, Lahore",Lahore,Punjab,2023-02-04,Residential,15,4653,12,2023,LESCO
IESCO-91672194,35202-1001264-8,Chaudhry Bilal Ahmed,"House 509, Street 6, Saddar, Rawalpindi",Rawalpindi,Punjab,2020-04-18,Commercial,10,284860,4,2020,IESCO
SEPCO-37626625,61101-1001146-2,Chaudhry Mariam Malik,"House 426, Street 32, New Pind, Sukkur",Sukkur,Sindh,2017-06-22,Residential,25,22368,1,2017,SEPCO
K-85648751,61101-1000710-0,Zainab Ahmed,"House 194, Street 22, Nazimabad, Karachi",Karachi,Sindh,2026-05-15,Residential,50,61611,8,2026,K-Electric
GEPCO-47514913,33100-1001639-3,Nida Hussain,"House 511, Street 7, Satellite Town, Gujranwala",Gujranwala,Punjab,2026-04-24,Residential,7,65524,3,2026,GEPCO
FESCO-82993992,17301-1000578-6,Kashif Javed,"House 770, Street 34, People Colony, Faisalabad",Faisalabad,Punjab,2019-09-10,Residential,25,13539,8,2019,FESCO
QESCO-49667154,42101-1001057-9,A. Khan,"House 610, Street 5, Samungli Road, Quetta",Quetta,Balochistan,2025-03-29,Residential,15,46803,11,2025,QESCO
SEPCO-16889271,45501-1001417-9,Maham Tariq,"House 477, Street 20, Rohri, Sukkur",Sukkur,Sindh,2022-02-20,Residential,25,51948,7,2022,SEPCO
QESCO-70427398,54400-1001770-0,I. Siddiqui,"House 175, Street 32, Samungli Road, Quetta",Quetta,Balochistan,2023-07-03,Residential,15,13996,5,2023,QESCO
IESCO-26005303,45501-1001401-7,Muhammad Ahmed,"House 476, Street 4, Saddar, Rawalpindi",Rawalpindi,Punjab,2024-10-17,Residential,3,73088,10,2024,IESCO
PESCO-30545036,17301-1001480-0,Zainab Ahmed,"House 254, Street 19, Saddar, Peshawar",Peshawar,KPK,2019-06-15,Residential,15,69585,5,2019,PESCO
PESCO-89105583,17301-1001480-0,Zainab Ahmed Sahib,"House 254, Street 19, Saddar, Peshawar",Peshawar,KPK,2021-05-11,Residential,10,33431,3,2021,PESCO
GEPCO-48216418,54400-1001281-7,Taha Hussain,"House 732, Street 31, Civil Lines, Gujranwala",Gujranwala,Punjab,2020-10-12,Residential,50,10267,6,2020,GEPCO
SEPCO-16747585,33100-1001444-8,Sana Iqbal,"House 566, Street 35, Rohri, Sukkur",Sukkur,Sindh,2017-11-29,Residential,50,432772,12,2017,SEPCO
FESCO-66298954,61101-1001071-7,T. Hussain,"House 374, Street 32, Gulberg, Faisalabad",Faisalabad,Punjab,2021-01-19,Residential,25,15743,9,2021,FESCO
IESCO-57206173,61101-1000278-6,Shazia Butt,"House 634, Street 32, Bahria Enclave, Islamabad",Islamabad,Islamabad,2026-02-08,Residential,7,42223,10,2026,IESCO
IESCO-27161640,61101-1000278-6,Shazia Butt,"House 634, Street 32, Bahria Enclave, Islamabad",Islamabad,Islamabad,2020-05-21,Residential,7,18856,5,2020,IESCO
GEPCO-51433022,17301-1001860-0,Usman Malik,"House 18, Street 23, Wapda Town, Gujranwala",Gujranwala,Punjab,2024-11-05,Residential,15,23427,10,2024,GEPCO
GEPCO-90432887,17301-1001860-0,Usman Malik,"House 18, Street 23, Wapda Town, Gujranwala",Gujranwala,Punjab,2025-10-10,Commercial,10,337476,5,2025,GEPCO
IESCO-55756483,45501-1000274-8,Chaudhry Nida Hussain,"House 441, Street 32, F-10, Islamabad",Islamabad,Islamabad,2018-01-11,Residential,5,31407,7,2018,IESCO
GEPCO-73121672,45501-1001127-9,A. Khan,"House 815, Street 35, Wapda Town, Gujranwala",Gujranwala,Punjab,2023-09-14,Residential,3,63680,5,2023,GEPCO
SEPCO-99943651,45501-1001795-5,Zainab Ahmed,"House 268, Street 25, Rohri, Sukkur",Sukkur,Sindh,2019-08-21,Residential,3,9960,5,2019,SEPCO
SEPCO-37438756,45501-1001795-5,Zainab Ahmed,"House 268, Street 25, Rohri, Sukkur",Sukkur,Sindh,2025-06-03,Residential,15,34426,6,2025,SEPCO
IESCO-23810378,33100-1001044-8,Nida Hussain,"House 240, Street 33, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2023-06-15,Residential,25,17432,9,2023,IESCO
MEPCO-15995896,42101-1000704-8,Bilal Ahmed,"House 190, Street 4, Gulgasht, Multan",Multan,Punjab,2016-04-22,Residential,50,52188,3,2016,MEPCO
MEPCO-50110268,42101-1000704-8,Chaudhry Bilal Ahmed,"House 190, Street 4, Gulgasht, Multan",Multan,Punjab,2022-05-01,Commercial,3,138948,2,2022,MEPCO
IESCO-99636102,35202-1001613-1,Chaudhry Hassan Khan,"House 594, Street 3, E-11, Islamabad",Islamabad,Islamabad,2020-09-28,Residential,50,19392,4,2020,IESCO
K-51581384,42101-1000902-4,Ahmed Baig,"House 774, Street 12, Nazimabad, Karachi",Karachi,Sindh,2018-11-16,Residential,5,5155,8,2018,K-Electric
QESCO-76300858,42101-1000635-5,Usman Malik,"House 49, Street 20, Satellite Town, Quetta",Quetta,Balochistan,2017-10-28,Commercial,15,319911,9,2017,QESCO
IESCO-51895107,45501-1000174-8,Amna Chaudhry,"House 324, Street 11, Chaklala, Rawalpindi",Rawalpindi,Punjab,2019-01-30,Residential,7,64378,11,2019,IESCO
IESCO-25276316,45501-1000174-8,Amna Chaudhry,"House 324, Street 11, Chaklala, Rawalpindi",Rawalpindi,Punjab,2023-10-07,Commercial,7,278269,2,2023,IESCO
IESCO-53647889,33100-1000639-3,S. Iqbal,"House 850, Street 19, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2018-07-10,Residential,3,19628,12,2018,IESCO
IESCO-59197818,33100-1000639-3,Sana Iqbal,"House 850, Street 19, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2016-07-16,Commercial,3,251722,5,2016,IESCO
FESCO-67114048,45501-1001420-0,Chaudhry Imran Siddiqui,"House 434, Street 1, Canal Road, Faisalabad",Faisalabad,Punjab,2024-06-19,Commercial,25,96977,12,2024,FESCO
LESCO-47895790,33100-1001784-8,A. Chaudhry,"House 505, Street 30, Model Town, Lahore",Lahore,Punjab,2018-10-30,Commercial,25,56854,4,2018,LESCO
GEPCO-40756885,17301-1000770-0,Waseem Akram Sahib,"House 247, Street 32, Civil Lines, Gujranwala",Gujranwala,Punjab,2025-02-27,Residential,50,14375,8,2025,GEPCO
IESCO-18626828,61101-1000720-0,Imran Siddiqui Sahib,"House 60, Street 33, PWD, Rawalpindi",Rawalpindi,Punjab,2025-02-01,Residential,7,5709,5,2025,IESCO
PESCO-41875312,61101-1000044-8,Chaudhry Sana Iqbal,"House 377, Street 14, Gulbahar, Peshawar",Peshawar,KPK,2025-09-09,Residential,10,3606,4,2025,PESCO
MEPCO-50424932,54400-1001257-9,Khalid Malik,"House 764, Street 17, Shah Rukn-e-Alam, Multan",Multan,Punjab,2025-01-30,Residential,3,4229,10,2025,MEPCO
GEPCO-11771923,33100-1001643-1,Shazia Butt Sahib,"House 447, Street 22, Model Town, Gujranwala",Gujranwala,Punjab,2023-06-26,Residential,5,16992,9,2023,GEPCO
SEPCO-98300862,17301-1000991-7,Saad Qureshi,"House 755, Street 14, Barrage Road, Sukkur",Sukkur,Sindh,2017-12-22,Commercial,50,311805,11,2017,SEPCO
LESCO-87876569,54400-1000429-3,Sana Iqbal,"House 98, Street 12, Gulberg, Lahore",Lahore,Punjab,2019-02-05,Residential,5,18890,11,2019,LESCO
IESCO-48287023,35202-1001155-5,Waseem Akram,"House 981, Street 28, Saddar, Rawalpindi",Rawalpindi,Punjab,2021-02-26,Residential,3,25658,9,2021,IESCO
IESCO-23174612,35202-1001822-4,Ali Raza,"House 212, Street 24, Chaklala, Rawalpindi",Rawalpindi,Punjab,2026-06-29,Commercial,15,146611,12,2026,IESCO
IESCO-84805017,35202-1000237-9,Ahmed Baig,"House 178, Street 6, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2018-02-15,Residential,5,10984,2,2018,IESCO
IESCO-14758157,35202-1000237-9,A. Baig,"House 178, Street 6, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2016-07-25,Residential,25,39842,4,2016,IESCO
LESCO-20227965,33100-1000113-1,Fatima Ali,"House 893, Street 14, DHA Phase 5, Lahore",Lahore,Punjab,2026-05-05,Residential,7,68601,9,2026,LESCO
SEPCO-99611162,54400-1001087-9,Ali Raza,"House 376, Street 30, New Pind, Sukkur",Sukkur,Sindh,2019-07-20,Residential,3,34785,6,2019,SEPCO
