travel_id,cnic,passenger_name,address,city,province,date,passport_no,travel_type,destination_country,airline,ticket_cost_pkr,hotel_cost_pkr,total_travel_cost_pkr
TRV-2016-850702,54400-1000694-8,Nida Hussain,"House 634, Street 28, F-10, Islamabad",Islamabad,Islamabad,2016-06-18,XY8025273,Umrah,Istanbul,Emirates,321549,725108,1046657
TRV-2021-124275,33100-1000513-1,Asad Iqbal,"House 406, Street 2, Madina Town, Faisalabad",Faisalabad,Punjab,2021-08-21,CD1336526,Business,Abu Dhabi,Saudia,432097,1132247,1564344
TRV-2022-230021,45501-1000251-7,Chaudhry Hamza Sheikh,"House 584, Street 21, Saddar, Hyderabad",Hyderabad,Sindh,2022-01-12,XY1246681,International,Baku,SereneAir,615105,576833,1191938
TRV-2018-162040,45501-1000251-7,Hamza Sheikh,"House 584, Street 21, Saddar, Hyderabad",Hyderabad,Sindh,2018-02-22,CD5025100,Umrah,Jeddah,PIA,178444,1374981,1553425
TRV-2026-661322,17301-1001793-1,Chaudhry Fatima Ali,"House 319, Street 34, Brewery Road, Quetta",Quetta,Balochistan,2026-03-04,PK7946222,Tourism,Abu Dhabi,Qatar Airways,220044,886793,1106837
TRV-2022-670090,17301-1001793-1,Fatima Ali,"House 319, Street 34, Brewery Road, Quetta",Quetta,Balochistan,2022-10-22,CD2140708,International,Kuala Lumpur,Qatar Airways,886120,928882,1815002
TRV-2025-784922,17301-1001793-1,Fatima Ali Sahib,"House 319, Street 34, Brewery Road, Quetta",Quetta,Balochistan,2025-06-19,AB3154171,Tourism,Riyadh,Saudia,115968,451199,567167
TRV-2026-252920,33100-1000024-8,Laiba Khan Sahib,"House 585, Street 22, Nazimabad, Karachi",Karachi,Sindh,2026-06-13,PK4216740,Family Visit,Dubai,Airblue,197922,1198949,1396871
TRV-2019-346755,35202-1000302-4,M. Akhtar,"House 502, Street 9, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2019-02-04,PK7108354,Business,Doha,Turkish Airlines,504270,1211199,1715469
TRV-2025-109033,35202-1000302-4,Muneeb Akhtar Sahib,"House 502, Street 9, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2025-12-10,PK6750238,Tourism,Dubai,Turkish Airlines,277273,415405,692678
TRV-2017-531384,35202-1000302-4,Chaudhry Muneeb Akhtar,"House 502, Street 9, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2017-05-02,AB4922839,Family Visit,Kuala Lumpur,SereneAir,316415,1118448,1434863
TRV-2023-149153,33100-1000816-2,Saad Qureshi,"House 705, Street 27, Nazimabad, Karachi",Karachi,Sindh,2023-12-15,XY6483572,Family Visit,London,Emirates,276745,910894,1187639
TRV-2019-572133,17301-1000137-9,Khalid Malik,"House 336, Street 4, Satellite Town, Quetta",Quetta,Balochistan,2019-03-19,CD8653551,International,Istanbul,SereneAir,680453,691496,1371949
TRV-2021-414633,17301-1000137-9,Khalid Malik,"House 336, Street 4, Satellite Town, Quetta",Quetta,Balochistan,2021-09-18,PK3001475,Family Visit,Kuala Lumpur,Emirates,269027,353174,622201
TRV-2026-695680,61101-1001152-4,K. Malik,"House 687, Street 7, Jinnah Town, Quetta",Quetta,Balochistan,2026-08-01,XY4495452,International,Jeddah,SereneAir,810974,674900,1485874
TRV-2025-739029,54400-1000903-1,Chaudhry Kamran Qureshi,"House 105, Street 9, Satellite Town, Gujranwala",Gujranwala,Punjab,2025-06-05,AB2535979,International,Riyadh,Qatar Airways,827445,899947,1727392
TRV-2017-251832,61101-1001228-6,Chaudhry Hassan Khan,"House 509, Street 19, Bahadurabad, Karachi",Karachi,Sindh,2017-03-27,CD2476210,Business,Dubai,Turkish Airlines,530480,226013,756493
TRV-2019-185748,61101-1001228-6,Hassan Khan,"House 509, Street 19, Bahadurabad, Karachi",Karachi,Sindh,2019-01-27,PK2132770,Umrah,Doha,PIA,534641,1402377,1937018
TRV-2024-916242,61101-1001228-6,H. Khan,"House 509, Street 19, Bahadurabad, Karachi",Karachi,Sindh,2024-06-21,PK5901624,Tourism,Istanbul,Qatar Airways,487410,920228,1407638
TRV-2026-685476,61101-1001045-5,H. Ghani,"House 388, Street 35, Satellite Town, Quetta",Quetta,Balochistan,2026-08-16,XY1484251,Umrah,Baku,PIA,576362,209923,786285
TRV-2021-970839,61101-1001045-5,H. Ghani,"House 388, Street 35, Satellite Town, Quetta",Quetta,Balochistan,2021-01-15,AB9065691,International,Abu Dhabi,SereneAir,137837,542256,680093
TRV-2020-468190,33100-1000449-3,Chaudhry Nida Hussain,"House 162, Street 17, Clifton, Karachi",Karachi,Sindh,2020-01-06,XY1637159,International,Riyadh,Turkish Airlines,868757,1197733,2066490
TRV-2025-937735,33100-1000449-3,Chaudhry Nida Hussain,"House 162, Street 17, Clifton, Karachi",Karachi,Sindh,2025-11-11,PK3914121,Tourism,Bangkok,PIA,448256,819043,1267299
TRV-2021-949823,42101-1000707-9,Chaudhry Ayesha Khan,"House 924, Street 12, Gulgasht, Multan",Multan,Punjab,2021-12-26,AB5530369,Business,Doha,Saudia,224121,1277991,1502112
TRV-2023-600190,35202-1001822-4,Ali Raza,"House 212, Street 24, Chaklala, Rawalpindi",Rawalpindi,Punjab,2023-05-23,AB1945978,International,Riyadh,SereneAir,330018,728584,1058602
TRV-2021-880468,35202-1001822-4,Ali Raza,"House 212, Street 24, Chaklala, Rawalpindi",Rawalpindi,Punjab,2021-01-11,AB3709985,Tourism,Abu Dhabi,Turkish Airlines,676629,257548,934177
TRV-2026-989104,35202-1001822-4,A. Raza,"House 212, Street 24, Chaklala, Rawalpindi",Rawalpindi,Punjab,2026-02-17,CD5349637,Family Visit,Dubai,Emirates,789226,137399,926625
TRV-2018-392660,35202-1000080-0,Zainab Ahmed Sahib,"House 687, Street 26, Hayatabad, Peshawar",Peshawar,KPK,2018-03-22,PK3140504,Family Visit,Riyadh,Qatar Airways,425255,384528,809783
TRV-2023-516204,33100-1001963-1,Hassan Khan,"House 452, Street 1, Bosan Road, Multan",Multan,Punjab,2023-03-23,PK3578417,International,Bangkok,SereneAir,164958,519079,684037
TRV-2021-476573,42101-1001057-9,Chaudhry Ayesha Khan,"House 610, Street 5, Samungli Road, Quetta",Quetta,Balochistan,2021-11-03,AB4672196,Umrah,Abu Dhabi,Airblue,440063,1013106,1453169
TRV-2024-648900,42101-1001589-3,Chaudhry Nimra Aslam,"House 391, Street 18, Civil Lines, Gujranwala",Gujranwala,Punjab,2024-09-26,PK6185216,Umrah,Abu Dhabi,Qatar Airways,861221,1045959,1907180
TRV-2019-302500,42101-1001589-3,N. Aslam,"House 391, Street 18, Civil Lines, Gujranwala",Gujranwala,Punjab,2019-10-19,CD2191284,International,Dubai,PIA,499084,222546,721630
TRV-2020-751581,17301-1000260-0,Chaudhry Danish Butt,"House 312, Street 6, Peoples Colony, Gujranwala",Gujranwala,Punjab,2020-04-02,PK9215442,Tourism,London,SereneAir,540693,676742,1217435
TRV-2026-618875,17301-1000260-0,Chaudhry Danish Butt,"House 312, Street 6, Peoples Colony, Gujranwala",Gujranwala,Punjab,2026-02-17,CD4562463,Business,Riyadh,SereneAir,684061,340466,1024527
TRV-2025-326764,17301-1000151-7,Saad Qureshi,"House 62, Street 7, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2025-05-17,AB7122742,Business,Abu Dhabi,Saudia,371242,327673,698915
TRV-2017-770106,17301-1000151-7,Saad Qureshi,"House 62, Street 7, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2017-05-28,XY5113601,Family Visit,Dubai,SereneAir,204903,208865,413768
TRV-2025-197927,17301-1000151-7,Saad Qureshi Sahib,"House 62, Street 7, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2025-07-11,CD6430728,International,Kuala Lumpur,Emirates,257300,1119966,1377266
TRV-2019-227406,61101-1001538-6,Shazia Butt,"House 435, Street 26, Cantt, Multan",Multan,Punjab,2019-08-11,AB9988137,Business,Kuala Lumpur,SereneAir,136511,719039,855550
TRV-2017-429857,61101-1001538-6,Shazia Butt,"House 435, Street 26, Cantt, Multan",Multan,Punjab,2017-08-13,XY1043252,Business,Kuala Lumpur,Saudia,101642,1460199,1561841
TRV-2026-700829,61101-1001538-6,S. Butt,"House 435, Street 26, Cantt, Multan",Multan,Punjab,2026-05-01,XY3330711,Family Visit,Istanbul,Airblue,479749,409395,889144
TRV-2022-178806,61101-1001538-6,Chaudhry Shazia Butt,"House 435, Street 26, Cantt, Multan",Multan,Punjab,2022-12-21,PK6888750,Tourism,Jeddah,Qatar Airways,104079,1297210,1401289
TRV-2021-252999,61101-1000990-0,Zainab Ahmed,"House 260, Street 29, Latifabad, Hyderabad",Hyderabad,Sindh,2021-08-24,PK3328830,Tourism,Istanbul,Emirates,780565,177132,957697
TRV-2023-992249,42101-1000555-5,Chaudhry Huma Ghani,"House 486, Street 19, Hayatabad, Peshawar",Peshawar,KPK,2023-07-15,XY9507162,Umrah,Istanbul,Emirates,494061,1069553,1563614
TRV-2023-907037,33100-1001976-2,Fahad Mirza,"House 905, Street 28, Bahadurabad, Karachi",Karachi,Sindh,2023-06-14,PK5958300,Family Visit,Abu Dhabi,Saudia,147968,511731,659699
TRV-2023-641020,33100-1001976-2,Fahad Mirza,"House 905, Street 28, Bahadurabad, Karachi",Karachi,Sindh,2023-09-13,CD3365502,International,Riyadh,SereneAir,247554,1067989,1315543
TRV-2021-626952,33100-1001976-2,F. Mirza,"House 905, Street 28, Bahadurabad, Karachi",Karachi,Sindh,2021-12-01,AB1268254,International,Baku,Emirates,248667,1266372,1515039
TRV-2019-999850,35202-1000294-8,Nimra Aslam Sahib,"House 543, Street 31, Hussainabad, Hyderabad",Hyderabad,Sindh,2019-09-09,PK7241992,Business,Bangkok,Emirates,208879,641454,850333
TRV-2019-684796,54400-1001674-8,N. Hussain,"House 614, Street 2, Nazimabad, Karachi",Karachi,Sindh,2019-04-21,PK6571868,Umrah,Bangkok,Emirates,199087,424381,623468
TRV-2016-912496,54400-1001674-8,Nida Hussain,"House 614, Street 2, Nazimabad, Karachi",Karachi,Sindh,2016-05-23,XY8356704,International,Dubai,Saudia,601795,1364023,1965818
TRV-2020-200979,54400-1001674-8,Nida Hussain Sahib,"House 614, Street 2, Nazimabad, Karachi",Karachi,Sindh,2020-05-05,AB4688206,Family Visit,Dubai,PIA,117089,1295252,1412341
TRV-2022-648728,17301-1000636-2,H. Sheikh,"House 443, Street 3, Peoples Colony, Gujranwala",Gujranwala,Punjab,2022-06-07,CD6844641,Umrah,Jeddah,Qatar Airways,691578,1486619,2178197
TRV-2017-144271,33100-1000758-6,Asad Iqbal Sahib,"House 317, Street 26, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2017-10-03,CD2946336,Umrah,Riyadh,Qatar Airways,407048,151988,559036
TRV-2023-728058,33100-1000758-6,Asad Iqbal Sahib,"House 317, Street 26, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2023-07-01,XY9775103,International,Abu Dhabi,Qatar Airways,294395,724356,1018751
TRV-2022-325912,35202-1001523-1,Kashif Javed,"House 925, Street 24, Jinnah Town, Quetta",Quetta,Balochistan,2022-09-30,CD2945112,Tourism,Jeddah,Turkish Airlines,504754,297710,802464
TRV-2023-150703,35202-1001523-1,K. Javed,"House 925, Street 24, Jinnah Town, Quetta",Quetta,Balochistan,2023-01-27,CD1986567,Business,Baku,Saudia,407523,560034,967557
TRV-2023-110336,42101-1001653-1,F. Ali,"House 509, Street 13, DHA Phase 2, Islamabad",Islamabad,Islamabad,2023-04-24,AB8277766,Tourism,Abu Dhabi,Airblue,495117,683675,1178792
TRV-2020-286251,35202-1000376-2,M. Malik,"House 679, Street 9, Gulberg, Faisalabad",Faisalabad,Punjab,2020-08-05,XY8942902,International,Riyadh,Emirates,90778,558327,649105
TRV-2016-704292,54400-1001941-7,Fahad Mirza,"House 505, Street 28, Johar Town, Lahore",Lahore,Punjab,2016-02-20,CD5846764,Umrah,Doha,Qatar Airways,468382,566819,1035201
TRV-2025-119255,33100-1000004-8,Chaudhry Bilal Ahmed,"House 99, Street 25, Hayatabad, Peshawar",Peshawar,KPK,2025-11-15,XY6317084,Umrah,Kuala Lumpur,Turkish Airlines,298543,1132099,1430642
TRV-2018-832640,42101-1001914-8,Laiba Khan,"House 951, Street 14, Cantt, Multan",Multan,Punjab,2018-07-06,PK6844256,Business,London,Saudia,175373,1165825,1341198
TRV-2021-382042,33100-1000817-9,Umer Farooq,"House 350, Street 10, Satellite Town, Quetta",Quetta,Balochistan,2021-11-30,XY8197311,Umrah,Jeddah,PIA,844085,1287465,2131550
TRV-2025-831833,33100-1000817-9,U. Farooq,"House 350, Street 10, Satellite Town, Quetta",Quetta,Balochistan,2025-08-22,AB4876231,Umrah,Baku,PIA,95842,100390,196232
TRV-2016-401952,35202-1001657-9,Chaudhry Umer Farooq,"House 244, Street 15, Warsak Road, Peshawar",Peshawar,KPK,2016-02-24,XY8998254,Tourism,Doha,Qatar Airways,150442,799223,949665
TRV-2016-825283,35202-1001657-9,Umer Farooq,"House 244, Street 15, Warsak Road, Peshawar",Peshawar,KPK,2016-11-25,AB3946281,Umrah,Bangkok,Saudia,307415,452351,759766
TRV-2018-820288,35202-1001657-9,Chaudhry Umer Farooq,"House 244, Street 15, Warsak Road, Peshawar",Peshawar,KPK,2018-04-30,AB3462167,Tourism,Bangkok,Emirates,450534,677937,1128471
TRV-2024-377389,54400-1000157-9,Maham Tariq Sahib,"House 236, Street 20, Samungli Road, Quetta",Quetta,Balochistan,2024-02-11,AB3688435,Umrah,Abu Dhabi,Qatar Airways,679190,1115432,1794622
TRV-2016-185969,42101-1000595-5,Waseem Akram,"House 950, Street 7, People Colony, Faisalabad",Faisalabad,Punjab,2016-09-12,XY3422599,Business,Jeddah,Emirates,206725,1466826,1673551
TRV-2019-485017,45501-1001365-5,Waseem Akram,"House 666, Street 8, Queens Road, Sukkur",Sukkur,Sindh,2019-04-08,PK3162332,Family Visit,Riyadh,Turkish Airlines,862773,590128,1452901
TRV-2016-498895,42101-1000224-8,Chaudhry Nimra Aslam,"House 75, Street 15, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2016-10-24,CD8568568,Tourism,Baku,Turkish Airlines,639265,1326890,1966155
TRV-2018-189561,35202-1001419-3,R. Noor,"House 873, Street 14, Rohri, Sukkur",Sukkur,Sindh,2018-08-23,AB7916315,Family Visit,Bangkok,Airblue,333088,662623,995711
TRV-2021-657875,35202-1001419-3,Rabia Noor Sahib,"House 873, Street 14, Rohri, Sukkur",Sukkur,Sindh,2021-09-07,PK8423166,Family Visit,Doha,PIA,706354,552244,1258598
TRV-2024-447542,54400-1001126-2,Hamza Sheikh Sahib,"House 53, Street 26, Model Town, Lahore",Lahore,Punjab,2024-08-21,CD8852138,Family Visit,Baku,Qatar Airways,397976,891183,1289159
TRV-2019-122889,42101-1001593-1,K. Javed,"House 638, Street 30, Hussainabad, Hyderabad",Hyderabad,Sindh,2019-08-03,CD2723878,Umrah,Doha,Emirates,833730,79410,913140
TRV-2026-394054,42101-1001593-1,Chaudhry Kashif Javed,"House 638, Street 30, Hussainabad, Hyderabad",Hyderabad,Sindh,2026-05-01,PK6982845,Family Visit,Abu Dhabi,SereneAir,145211,671352,816563
TRV-2018-547439,61101-1001586-2,Chaudhry Saad Qureshi,"House 948, Street 17, Hussainabad, Hyderabad",Hyderabad,Sindh,2018-11-21,CD3900047,Business,Baku,SereneAir,219683,883320,1103003
TRV-2020-743826,61101-1001586-2,Saad Qureshi,"House 948, Street 17, Hussainabad, Hyderabad",Hyderabad,Sindh,2020-07-08,AB1374105,International,Jeddah,Emirates,667174,1321774,1988948
TRV-2021-214939,61101-1001586-2,Saad Qureshi,"House 948, Street 17, Hussainabad, Hyderabad",Hyderabad,Sindh,2021-11-14,PK8967967,Business,Jeddah,Saudia,712693,283400,996093
TRV-2024-131578,33100-1001965-5,Usman Malik,"House 437, Street 17, Military Road, Sukkur",Sukkur,Sindh,2024-02-09,PK5999096,International,Istanbul,Qatar Airways,606881,1053293,1660174
TRV-2021-415204,33100-1001965-5,Usman Malik,"House 437, Street 17, Military Road, Sukkur",Sukkur,Sindh,2021-02-22,XY7780184,Business,Abu Dhabi,Qatar Airways,888477,1430780,2319257
TRV-2021-967732,33100-1000090-0,Chaudhry Imran Siddiqui,"House 12, Street 19, Qasimabad, Hyderabad",Hyderabad,Sindh,2021-02-23,XY6693836,Business,Jeddah,Airblue,479872,1008951,1488823
TRV-2020-457761,33100-1000090-0,Imran Siddiqui,"House 12, Street 19, Qasimabad, Hyderabad",Hyderabad,Sindh,2020-04-24,AB7669893,Tourism,Baku,Turkish Airlines,696777,390251,1087028
TRV-2018-211561,33100-1000090-0,I. Siddiqui,"House 12, Street 19, Qasimabad, Hyderabad",Hyderabad,Sindh,2018-07-20,PK2351447,Family Visit,Riyadh,SereneAir,274960,885855,1160815
TRV-2020-248487,33100-1000090-0,Imran Siddiqui,"House 12, Street 19, Qasimabad, Hyderabad",Hyderabad,Sindh,2020-04-04,CD7984414,Tourism,Bangkok,Qatar Airways,176976,1155392,1332368
TRV-2024-286338,45501-1001816-2,Chaudhry Naveed Raza,"House 940, Street 21, PWD, Rawalpindi",Rawalpindi,Punjab,2024-12-24,XY5088297,Family Visit,London,Airblue,338889,1141217,1480106
TRV-2026-909870,45501-1001816-2,Naveed Raza,"House 940, Street 21, PWD, Rawalpindi",Rawalpindi,Punjab,2026-03-20,AB7606961,Tourism,Bangkok,PIA,212728,1225517,1438245
TRV-2019-149449,17301-1001531-7,Chaudhry Mariam Malik,"House 317, Street 4, Military Road, Sukkur",Sukkur,Sindh,2019-02-20,XY6656642,Tourism,Jeddah,PIA,470630,577230,1047860
TRV-2016-877051,35202-1000354-8,Bilal Ahmed,"House 107, Street 15, Brewery Road, Quetta",Quetta,Balochistan,2016-08-26,PK4271925,Tourism,London,SereneAir,326145,274216,600361
TRV-2022-807789,42101-1000783-1,Hira Shah,"House 184, Street 3, Latifabad, Hyderabad",Hyderabad,Sindh,2022-06-08,AB3162129,Tourism,Abu Dhabi,PIA,868622,208308,1076930
TRV-2019-917234,42101-1000783-1,Hira Shah,"House 184, Street 3, Latifabad, Hyderabad",Hyderabad,Sindh,2019-12-17,XY6526940,Umrah,Kuala Lumpur,Qatar Airways,377921,1067943,1445864
TRV-2026-824154,42101-1000783-1,Chaudhry Hira Shah,"House 184, Street 3, Latifabad, Hyderabad",Hyderabad,Sindh,2026-03-18,AB9094249,International,Dubai,Emirates,192632,1386731,1579363
TRV-2016-991554,61101-1000934-8,Laiba Khan,"House 223, Street 1, Gulgasht, Multan",Multan,Punjab,2016-02-08,PK6850661,Business,Istanbul,SereneAir,354437,348974,703411
TRV-2019-153842,61101-1000934-8,Laiba Khan,"House 223, Street 1, Gulgasht, Multan",Multan,Punjab,2019-07-11,XY3991938,International,Doha,Turkish Airlines,113126,540253,653379
TRV-2017-722551,61101-1000934-8,L. Khan,"House 223, Street 1, Gulgasht, Multan",Multan,Punjab,2017-03-08,CD5073082,Family Visit,Kuala Lumpur,Emirates,423553,267421,690974
TRV-2020-892681,33100-1001646-2,M. Ahmed,"House 190, Street 29, DHA Phase 6, Karachi",Karachi,Sindh,2020-01-24,CD4555909,Business,Kuala Lumpur,PIA,628960,456717,1085677
TRV-2026-718401,54400-1000530-0,U. Malik,"House 606, Street 2, Madina Town, Faisalabad",Faisalabad,Punjab,2026-09-30,AB5664408,Umrah,Dubai,PIA,695348,159432,854780
TRV-2020-953983,45501-1000234-8,L. Khan,"House 500, Street 16, Jinnah Town, Quetta",Quetta,Balochistan,2020-03-02,PK1754596,Family Visit,Jeddah,Emirates,93868,1414946,1508814
TRV-2018-387877,33100-1001019-3,Bilal Ahmed,"House 995, Street 7, DHA Phase 5, Lahore",Lahore,Punjab,2018-08-30,CD3234158,International,Doha,SereneAir,862277,674104,1536381
TRV-2025-517485,42101-1001096-2,Saad Qureshi Sahib,"House 792, Street 20, G-11, Islamabad",Islamabad,Islamabad,2025-10-15,CD9705673,Umrah,Jeddah,Saudia,272456,789749,1062205
TRV-2021-632571,42101-1001096-2,S. Qureshi,"House 792, Street 20, G-11, Islamabad",Islamabad,Islamabad,2021-06-25,XY5058883,Business,Dubai,Emirates,353619,895992,1249611
TRV-2025-529303,35202-1000588-6,Kamran Qureshi,"House 648, Street 5, Auto Bhan, Hyderabad",Hyderabad,Sindh,2025-07-10,CD1138809,International,Dubai,Saudia,357853,472276,830129
TRV-2018-204913,17301-1001102-4,M. Tariq,"House 850, Street 25, DHA Multan, Multan",Multan,Punjab,2018-10-05,CD1810497,Business,Baku,PIA,274430,205290,479720
TRV-2024-468818,61101-1000601-7,Chaudhry Hamza Sheikh,"House 766, Street 22, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2024-10-27,XY2891495,Umrah,Kuala Lumpur,Airblue,124115,684093,808208
TRV-2026-107847,54400-1000301-7,Taha Hussain,"House 521, Street 4, Saddar, Peshawar",Peshawar,KPK,2026-08-04,PK4443508,International,Jeddah,PIA,558326,839281,1397607
TRV-2020-125489,33100-1001567-9,Ahmed Baig Sahib,"House 711, Street 20, Chaklala, Rawalpindi",Rawalpindi,Punjab,2020-02-16,CD2417734,International,Istanbul,Saudia,546192,639502,1185694
TRV-2024-395154,35202-1001223-1,S. Butt,"House 18, Street 21, Bahadurabad, Karachi",Karachi,Sindh,2024-02-15,AB5204686,International,Kuala Lumpur,SereneAir,635255,915440,1550695
TRV-2018-467146,33100-1001361-7,Chaudhry Naveed Raza,"House 878, Street 4, Satellite Town, Gujranwala",Gujranwala,Punjab,2018-10-09,AB3002402,International,Bangkok,SereneAir,307140,1302334,1609474
TRV-2019-911642,33100-1001361-7,Naveed Raza,"House 878, Street 4, Satellite Town, Gujranwala",Gujranwala,Punjab,2019-03-04,PK8049790,Umrah,Kuala Lumpur,Saudia,809542,984139,1793681
TRV-2021-807819,33100-1001361-7,N. Raza,"House 878, Street 4, Satellite Town, Gujranwala",Gujranwala,Punjab,2021-10-31,PK6756936,Umrah,Riyadh,Qatar Airways,661902,319625,981527
TRV-2025-506887,33100-1001361-7,Chaudhry Naveed Raza,"House 878, Street 4, Satellite Town, Gujranwala",Gujranwala,Punjab,2025-03-08,XY4271663,Tourism,Bangkok,Turkish Airlines,735002,1156508,1891510
TRV-2023-434273,45501-1001773-1,Asad Iqbal,"House 716, Street 20, E-11, Islamabad",Islamabad,Islamabad,2023-01-18,PK9178433,Umrah,Baku,SereneAir,480273,204682,684955
TRV-2021-863434,45501-1001773-1,Asad Iqbal Sahib,"House 716, Street 20, E-11, Islamabad",Islamabad,Islamabad,2021-12-04,XY3518755,Family Visit,Dubai,Airblue,415608,1339032,1754640
TRV-2021-993987,33100-1000657-9,Ahmed Baig,"House 859, Street 16, Gulbahar, Peshawar",Peshawar,KPK,2021-04-14,AB5108376,Business,London,Qatar Airways,678409,559858,1238267
TRV-2016-955958,42101-1000144-8,Bilal Ahmed Sahib,"House 581, Street 9, Bahadurabad, Karachi",Karachi,Sindh,2016-12-27,CD3900153,Business,Jeddah,PIA,816410,303747,1120157
TRV-2022-123116,61101-1001183-1,K. Qureshi,"House 520, Street 13, Military Road, Sukkur",Sukkur,Sindh,2022-07-10,AB2114639,Tourism,Bangkok,Saudia,311577,1195943,1507520
TRV-2019-908595,42101-1001997-9,Ali Raza,"House 775, Street 2, Bahria Enclave, Islamabad",Islamabad,Islamabad,2019-11-17,PK7908597,Family Visit,Istanbul,Turkish Airlines,827038,1376294,2203332
TRV-2017-630936,42101-1001997-9,Ali Raza,"House 775, Street 2, Bahria Enclave, Islamabad",Islamabad,Islamabad,2017-04-15,CD7794354,Tourism,Bangkok,Qatar Airways,756739,1449270,2206009
TRV-2016-576876,35202-1001902-4,Umer Farooq,"House 987, Street 33, Queens Road, Sukkur",Sukkur,Sindh,2016-10-04,PK4402032,Tourism,Istanbul,Qatar Airways,867185,931778,1798963
TRV-2020-490121,45501-1001280-0,I. Siddiqui,"House 991, Street 17, Saddar, Hyderabad",Hyderabad,Sindh,2020-04-12,XY8733603,Umrah,Riyadh,Airblue,475242,726195,1201437
TRV-2018-854375,33100-1001698-6,Kashif Javed Sahib,"House 263, Street 7, PWD, Rawalpindi",Rawalpindi,Punjab,2018-10-14,AB9696802,Business,Abu Dhabi,Turkish Airlines,583896,54498,638394
TRV-2026-394984,45501-1000444-8,Laiba Khan,"House 147, Street 15, Nazimabad, Karachi",Karachi,Sindh,2026-08-08,PK6386092,Business,Dubai,Turkish Airlines,699421,427905,1127326
TRV-2019-535012,45501-1000444-8,Chaudhry Laiba Khan,"House 147, Street 15, Nazimabad, Karachi",Karachi,Sindh,2019-05-12,XY5994653,Umrah,Dubai,Airblue,669367,243728,913095
TRV-2023-976779,61101-1001036-2,Taha Hussain,"House 669, Street 1, DHA Phase 5, Lahore",Lahore,Punjab,2023-05-17,XY6212443,International,Dubai,Saudia,499209,1254044,1753253
TRV-2025-628793,61101-1001036-2,Taha Hussain,"House 669, Street 1, DHA Phase 5, Lahore",Lahore,Punjab,2025-12-23,CD4771122,Umrah,Bangkok,Saudia,443248,755639,1198887
TRV-2016-923235,45501-1000558-6,Shazia Butt,"House 819, Street 8, Latifabad, Hyderabad",Hyderabad,Sindh,2016-09-29,AB3085651,Umrah,Bangkok,Airblue,453886,714105,1167991
TRV-2023-560138,54400-1001987-9,Ahmed Baig,"House 280, Street 33, University Road, Peshawar",Peshawar,KPK,2023-06-09,XY7247122,Business,Bangkok,Qatar Airways,888217,1409387,2297604
TRV-2016-760585,54400-1001987-9,Ahmed Baig,"House 280, Street 33, University Road, Peshawar",Peshawar,KPK,2016-03-10,CD3666176,Family Visit,Riyadh,Turkish Airlines,584493,1113208,1697701
TRV-2026-673269,54400-1001987-9,Ahmed Baig,"House 280, Street 33, University Road, Peshawar",Peshawar,KPK,2026-01-05,PK5000390,Tourism,Doha,Airblue,542916,492108,1035024
TRV-2022-989250,42101-1000400-0,Chaudhry Danish Butt,"House 230, Street 22, Gulberg, Lahore",Lahore,Punjab,2022-09-28,CD3548663,Family Visit,Jeddah,Turkish Airlines,325855,449359,775214
TRV-2017-222384,54400-1001221-7,Naveed Raza,"House 586, Street 7, Queens Road, Sukkur",Sukkur,Sindh,2017-11-15,PK8622047,International,Baku,Airblue,494970,365092,860062
TRV-2020-554314,61101-1001113-1,Chaudhry Kamran Qureshi,"House 95, Street 6, Satellite Town, Quetta",Quetta,Balochistan,2020-03-19,AB7346402,Family Visit,Abu Dhabi,SereneAir,427715,1289687,1717402
TRV-2026-878819,61101-1001113-1,Chaudhry Kamran Qureshi,"House 95, Street 6, Satellite Town, Quetta",Quetta,Balochistan,2026-10-09,XY9015798,Business,London,SereneAir,480406,514160,994566
TRV-2019-983230,61101-1001378-6,Hira Shah,"House 918, Street 31, Satellite Town, Quetta",Quetta,Balochistan,2019-09-11,CD1536082,International,Jeddah,Saudia,828332,1332161,2160493
TRV-2025-295688,42101-1001837-9,Chaudhry Maham Tariq,"House 689, Street 26, Brewery Road, Quetta",Quetta,Balochistan,2025-05-28,AB9660996,Umrah,London,Emirates,596068,653919,1249987
TRV-2025-431145,42101-1001837-9,Chaudhry Maham Tariq,"House 689, Street 26, Brewery Road, Quetta",Quetta,Balochistan,2025-08-23,CD4949517,Family Visit,Istanbul,Emirates,300732,672215,972947
TRV-2017-517961,61101-1000430-0,Zainab Ahmed Sahib,"House 634, Street 12, Warsak Road, Peshawar",Peshawar,KPK,2017-05-05,AB6038506,Umrah,Jeddah,SereneAir,893705,1392675,2286380
TRV-2017-173511,35202-1000781-7,S. Qureshi,"House 988, Street 15, Brewery Road, Quetta",Quetta,Balochistan,2017-09-04,PK3914682,International,Istanbul,Airblue,820976,333360,1154336
