cnic,registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type
37706-3847560-6,REGY-577516,Mr. Thomas Williams,Jonathan Hansen,"Kothi 340, Johar Town, Rawalpindi",7806681,2023-04-02,15,Apartment
60840-6933804-6,REGY-572307,Charlene Morris,Cody Griffith,"House 344, Johar Town, Rawalpindi",9581048,2022-08-25,10,Plot
53749-4802002-1,REGY-618129,Harry Rodriguez,Jacob Hayes,"Plot 471, Johar Town, Lahore",9027044,2020-05-01,10,Apartment
92689-3446599-3,REGY-252039,Chaudhry Dustin Davis,Matthew Lane,"Flat 394, Model Town, Lahore",10254603,2020-05-10,5,Apartment
75536-5396765-6,REGY-409728,Chaudhry Jessica Smith,Karen Pierce,"Plot 716, DHA, Lahore",3891250,2023-10-13,10,Plot
36115-8151321-2,REGY-467364,Chaudhry Wendy Hull,Douglas Gonzalez,"Flat 811, Model Town, Karachi",11833237,2024-10-23,5,House
28499-2208472-5,REGY-973142,Jerry Watson,Laurie Conway,"Flat 758, Model Town, Karachi",11328790,2023-11-16,15,Commercial
55931-7810919-6,REGY-686601,Elizabeth A. Lopez,Kayla Fisher,"House 722, Model Town, Islamabad",3290278,2020-04-20,5,Commercial
73106-9451241-6,REGY-504281,Anthony A. Parks,James Hill,"Plot 829, Bahria Town, Islamabad",3918501,2024-12-27,5,House
29766-3275327-4,REGY-741105,Mr. Theresa Love,Ronald Collins,"House 911, Gulberg, Rawalpindi",2660423,2020-03-19,20,House
68394-7645022-5,REGY-946075,Megan A. Turner,Devin Kennedy,"Plot 601, DHA, Karachi",7411565,2023-07-01,5,Commercial
49516-6175710-5,REGY-492489,Mr. Kristen Walsh,Jennifer Cohen,"Flat 76, Bahria Town, Lahore",9843762,2023-06-25,10,Commercial
86667-3998816-5,REGY-132708,Mr. Heidi Archer,Tracy Rice,"Flat 480, Model Town, Rawalpindi",2328908,2022-11-25,5,Commercial
18879-9128826-6,REGY-450871,Chaudhry Ricky Robinson,Kevin Beck,"Plot 283, Model Town, Lahore",9304280,2021-08-07,15,Commercial
31569-5497150-4,REGY-756949,Chaudhry Jamie Freeman,Laura Lopez,"House 224, DHA, Rawalpindi",2420581,2025-06-03,15,Commercial
68709-4361277-5,REGY-572597,D. Little,Robert Johnson,"House 202, Bahria Town, Lahore",19218700,2023-10-16,5,Plot
26910-1815390-2,REGY-987535,S. Sanchez,Ashley Hopkins,"House 829, Johar Town, Islamabad",2574499,2025-05-28,15,Plot
27913-1084726-4,REGY-253700,Mr. John Flores,Andrea Wells,"Flat 550, DHA, Islamabad",5303757,2024-08-20,20,House
13614-4560567-6,REGY-165751,Chaudhry Victoria Jennings,Kristy Lambert,"Flat 889, DHA, Rawalpindi",5746734,2023-10-02,20,Commercial
63125-6666921-3,REGY-894681,Cheryl Arnold,Susan Harmon,"House 885, Gulberg, Lahore",3627139,2023-01-08,5,Commercial
21429-6612309-8,REGY-303913,Chaudhry Jade Cole,Ryan Gonzalez,"Kothi 264, Gulberg, Lahore",28968075,2021-02-06,5,Apartment
13373-6316560-6,REGY-303639,Mr. Richard Wright,Lisa Vincent,"House 426, Johar Town, Islamabad",24158476,2025-11-17,10,Commercial
30536-2567809-1,REGY-876181,Chaudhry Rodney Johnson,David Graham,"Plot 216, Bahria Town, Lahore",6856073,2023-09-12,10,Plot
56903-7068767-7,REGY-409950,A. Webb,David Martin,"Flat 552, Johar Town, Karachi",75728187,2024-03-05,15,House
96161-6550563-4,REGY-149136,Chaudhry Johnny Jacobs,Alexandria Kirk,"Flat 833, Gulberg, Lahore",79561994,2024-10-16,10,Commercial
94843-6188400-9,REGY-322325,Chaudhry Anita Patterson,Christopher Cook,"Kothi 573, Model Town, Islamabad",5953345,2025-05-18,10,Plot
78592-9885786-5,REGY-876544,Chaudhry Connie Elliott,Brooke Harrison,"Plot 259, DHA, Rawalpindi",10862166,2020-09-27,20,Apartment
23079-7081720-3,REGY-546007,Deborah Baxter,Johnny Rodriguez,"Plot 411, DHA, Lahore",11618633,2020-02-02,15,Apartment
91871-3250547-2,REGY-396170,K. Ortega DVM,Russell Jennings,"House 557, Johar Town, Karachi",5623108,2021-10-25,10,House
82777-4050423-5,REGY-817040,J. Harris,Matthew Matthews,"Flat 756, Bahria Town, Karachi",11684212,2020-03-20,15,Plot
31244-9866725-1,REGY-872339,Mr. Eric Martinez,Jacob Johnson,"Flat 797, Bahria Town, Rawalpindi",5529052,2023-11-04,15,Commercial
75396-4575817-6,REGY-953368,Jacqueline A. Wilson,Daniel Murphy,"Kothi 472, Bahria Town, Islamabad",3615415,2023-07-20,15,House
13469-2808655-1,REGY-258850,Chaudhry Diane Walker,Julie Jones,"House 827, Gulberg, Islamabad",11194104,2021-11-13,5,Commercial
17862-4827163-7,REGY-158343,Mr. Sandra Brown,Jonathan Hooper PhD,"Kothi 929, Gulberg, Karachi",42713304,2021-10-14,5,Plot
14024-5226663-1,REGY-699617,Carrie A. Strickland,Debbie Manning,"Flat 727, Gulberg, Karachi",3904604,2023-07-08,20,Apartment
40327-6944239-4,REGY-115050,Mr. Sheri Graham,Kathryn Myers,"Flat 778, Gulberg, Islamabad",4611594,2024-08-17,5,House
49119-9365142-4,REGY-265171,Dennis Martinez,Timothy Lopez,"Plot 489, Model Town, Karachi",4648702,2022-05-09,10,Apartment
49332-5740669-2,REGY-138974,Amy James,William Rodriguez,"Flat 5, Gulberg, Karachi",9772450,2024-02-14,20,House
31180-6364820-8,REGY-217266,Mr. Stephanie Reynolds,Alisha Garrett,"Plot 594, DHA, Karachi",66724123,2021-12-14,20,Plot
57233-1774926-8,REGY-993276,Chaudhry Brandy Reid,Angela Ortega,"Plot 446, Bahria Town, Islamabad",19026085,2024-01-22,15,Commercial
99804-1409768-2,REGY-611383,Chaudhry Steven Hunter,Yolanda Rojas,"Plot 998, DHA, Karachi",4205746,2024-07-08,5,Commercial
49676-3530046-9,REGY-984485,Donald A. Powers,Michael Hopkins,"Flat 100, Bahria Town, Rawalpindi",22672096,2021-11-15,20,Apartment
99491-7663473-2,REGY-759616,Chaudhry John Watkins,Lori Carter,"Kothi 348, Gulberg, Islamabad",2008108,2021-01-07,5,Plot
14314-4936126-4,REGY-175277,Chaudhry Jason Sheppard,Lisa Ibarra,"House 39, Bahria Town, Karachi",20851775,2021-12-09,20,Commercial
85346-8222528-2,REGY-711817,Eric A. Morgan,David Mathews,"House 50, Model Town, Lahore",17890180,2022-07-03,10,Apartment
24463-3021044-8,REGY-348050,Mr. Brandon Peters,Megan Nguyen,"Plot 539, Gulberg, Lahore",11189568,2024-04-17,15,Plot
33459-4756624-9,REGY-331858,Tara Freeman,Natalie Pierce,"Plot 649, Johar Town, Lahore",2380696,2024-09-12,15,House
79459-6931965-8,REGY-555647,Melissa Rice,Jonathan Robinson,"House 358, Bahria Town, Karachi",77185034,2022-11-12,15,Commercial
19488-5579724-3,REGY-322135,Tamara A. Sparks,Jennifer Hudson,"House 271, Model Town, Lahore",11863751,2025-04-15,20,House
15661-4295827-9,REGY-960593,Christian A. Carter,Jose Soto,"House 418, Johar Town, Islamabad",5905046,2024-08-06,10,Apartment
45023-1177672-6,REGY-755240,Mark Brown,Phyllis Miller,"House 669, Gulberg, Islamabad",3562546,2020-02-03,15,Commercial
81933-6549110-7,REGY-314117,Christopher A. Larsen,Mary Hendricks,"Flat 409, Gulberg, Islamabad",7165020,2020-08-15,5,House
80778-8032155-7,REGY-811654,Shannon Meyer,Timothy Vasquez,"Plot 397, Gulberg, Rawalpindi",7561158,2021-05-23,15,Commercial
28750-1088096-4,REGY-138234,S. Ward,Rebecca Fisher,"Flat 711, Johar Town, Rawalpindi",7750045,2023-10-14,15,Commercial
41557-4328946-2,REGY-209464,Mr. Megan Meyer,Rose Little,"House 864, Johar Town, Lahore",6140283,2024-10-03,20,Apartment
16489-7808519-9,REGY-748348,Tiffany Robertson,William Miller,"Flat 702, Gulberg, Islamabad",14439936,2020-03-14,20,House
69702-1015641-8,REGY-116495,Chaudhry Stacey Jones,Thomas Hammond,"Kothi 523, Model Town, Rawalpindi",6694600,2023-10-10,10,Plot
40727-7355807-6,REGY-872143,Chaudhry Jason Horn,Kevin Pugh,"House 403, Johar Town, Islamabad",18508090,2021-02-11,5,House
90322-6404556-2,REGY-790743,Glenn Wall,Kristine Wagner,"Plot 947, Johar Town, Islamabad",3491552,2021-11-09,20,Apartment
44377-8940262-6,REGY-639206,Sarah A. Jones,Shannon Bell,"Kothi 585, Bahria Town, Karachi",11590318,2023-04-09,5,Apartment
18631-9870948-6,REGY-957151,Chaudhry Joanna Jones,Kimberly Boyd,"Plot 541, Bahria Town, Islamabad",10846832,2021-07-13,15,Apartment
41279-3891590-3,REGY-348928,K. Lewis,Andrew Thomas,"Kothi 182, DHA, Islamabad",59253538,2025-03-11,15,House
59972-7069374-7,REGY-679590,Michael A. Bradford,Jessica Smith,"House 420, Bahria Town, Islamabad",10236973,2025-04-05,5,Apartment
59171-2724747-6,REGY-906944,Mercedes Myers,Larry Mccall,"Flat 679, Johar Town, Islamabad",3063151,2021-07-01,10,Plot
69350-2476399-5,REGY-654726,N. Guerrero,Kimberly Santana,"Kothi 298, Gulberg, Lahore",5620795,2023-04-15,20,Plot
68892-9025213-3,REGY-844703,Gerald A. Vance,Phillip Davis,"Plot 7, Bahria Town, Islamabad",5658264,2021-01-15,10,Apartment
74064-9735791-4,REGY-689896,A. Martin,Carlos Smith,"Flat 536, Model Town, Rawalpindi",51356865,2021-03-18,5,Apartment
43143-1298076-9,REGY-369262,Gregory A. Davis,Marvin Rodriguez,"Plot 1, Johar Town, Islamabad",2467007,2020-05-21,15,Apartment
17567-3993549-5,REGY-725720,Mr. Stacy Stone PhD,Abigail Summers,"Flat 939, Model Town, Islamabad",11648286,2024-04-27,20,Plot
41697-5452740-8,REGY-624453,Chelsea Wilson,Paul West,"House 538, Gulberg, Lahore",27019636,2023-11-11,10,House
36434-3152524-7,REGY-891561,Aaron Scott,Justin Miller,"Flat 633, Model Town, Lahore",11661736,2021-02-27,20,Commercial
68003-7303642-6,REGY-668176,Brenda A. Cross,Elizabeth Johnson,"House 730, Model Town, Rawalpindi",4337758,2025-11-10,10,Commercial
66487-5308248-6,REGY-559614,Adrian Gonzalez,Jason Martin,"Plot 395, Johar Town, Karachi",4554440,2021-11-15,10,Apartment
91075-4214681-6,REGY-714863,Chaudhry Alexander Smith,Christopher Gallegos,"House 682, Bahria Town, Islamabad",18795425,2024-07-09,15,Plot
19277-2341155-8,REGY-371657,Mr. Anthony Wilson,Jessica Adkins,"Kothi 403, Johar Town, Rawalpindi",7779760,2023-12-18,20,House
75090-1429317-2,REGY-396498,Mr. Kirk Williams,Dana Rodriguez,"Kothi 958, Gulberg, Rawalpindi",13354358,2025-10-25,5,Commercial
64380-8945730-3,REGY-816328,Mr. Jeffrey Weber,James Woodward,"House 451, Gulberg, Rawalpindi",6220379,2024-07-16,20,Apartment
27731-9586455-1,REGY-604758,Chaudhry Felicia Moore,Rachel Rodriguez,"Plot 759, Bahria Town, Rawalpindi",24632434,2024-09-12,10,Commercial
80997-1680953-5,REGY-412287,Chaudhry Erika Proctor,Kenneth Williams,"Flat 788, Gulberg, Rawalpindi",10245796,2024-09-11,10,Plot
25482-2510822-4,REGY-420080,Jessica White,Melinda Carroll,"House 585, DHA, Lahore",3782759,2025-09-08,5,Apartment
75135-2480593-4,REGY-321069,Chaudhry Bonnie Freeman,Anna Farmer,"Kothi 57, Bahria Town, Islamabad",10786006,2020-01-05,10,Apartment
73280-1919027-9,REGY-292966,K. Simpson,Collin Griffith,"Kothi 864, Johar Town, Karachi",11175013,2025-08-01,20,Apartment
63339-1840461-3,REGY-563699,Mr. Bobby Smith,Andrea Larson,"Flat 343, Bahria Town, Lahore",11826866,2021-09-02,5,Apartment
34398-5608154-9,REGY-498831,Mrs. Cynthia White DDS,George Hester,"Flat 89, Model Town, Rawalpindi",10257705,2020-11-27,20,Commercial
43426-6012634-9,REGY-605249,Chaudhry Christine Cooper,Brooke Stanley,"Kothi 524, Gulberg, Lahore",10405014,2021-09-17,15,Plot
50219-6108489-4,REGY-383033,Derek A. Smith,Stephanie Mendoza,"Kothi 822, Gulberg, Islamabad",14554110,2021-05-05,5,Commercial
49972-4389120-3,REGY-766130,Chaudhry Randall Brown,Mary Fowler,"House 213, Johar Town, Islamabad",48890015,2021-07-03,20,Commercial
70846-9203841-3,REGY-772433,Chaudhry Debra Butler,Kayla Smith,"Flat 953, Model Town, Karachi",6039992,2024-09-09,15,Commercial
69825-1858329-6,REGY-909749,Mr. Rebecca Dawson,Brian Duncan,"House 546, DHA, Rawalpindi",20261387,2025-11-10,5,House
84046-6428334-1,REGY-976461,Pamela A. Bruce,Rodney Odonnell,"Flat 225, Gulberg, Islamabad",7688693,2022-02-04,20,Commercial
36286-4512556-8,REGY-871900,Michelle Glass,Heather Woods,"Kothi 958, Gulberg, Karachi",9566789,2025-10-18,15,Plot
36635-1968320-3,REGY-665145,S. Summers,Cynthia Harris,"Kothi 879, DHA, Lahore",3972633,2022-04-08,5,Plot
27956-2206752-8,REGY-994293,Mr. Jennifer Aguilar,Jasmine Ray,"Plot 15, Johar Town, Karachi",9098677,2024-02-22,10,Apartment
75302-4704502-5,REGY-180374,E. Jenkins,Nathan Pena,"Plot 548, Bahria Town, Karachi",14484632,2024-12-19,15,Apartment
37119-9660934-2,REGY-703256,Mr. Daniel Hawkins,Brian Vaughn Jr.,"Kothi 98, Bahria Town, Lahore",10380339,2024-01-11,15,Commercial
16594-7957362-4,REGY-352444,Wendy A. Burgess,Melissa Mclean,"Flat 724, Gulberg, Rawalpindi",63703175,2021-08-24,5,Plot
30294-1950675-3,REGY-401388,Alexander Townsend,Jeremy Rodriguez,"House 164, Gulberg, Islamabad",78495756,2021-05-05,10,Apartment
40496-6347396-9,REGY-864090,B. Galloway,James Ward,"Plot 317, Model Town, Islamabad",32798459,2022-07-04,10,House
81923-4600058-3,REGY-590843,John Smith,Amanda Warren,"Plot 401, DHA, Islamabad",15463933,2021-01-13,20,Commercial
59804-3616974-5,REGY-648938,Andrew A. Berger,James Bean,"Plot 671, Johar Town, Lahore",5888241,2025-12-12,5,Apartment
35972-8792226-3,REGY-975221,R. Gonzalez,Sarah Johnson,"Plot 441, Model Town, Rawalpindi",10741159,2024-04-15,5,Commercial
24991-1651164-6,REGY-995216,Emily Roberts MD,Ronald Salazar,"House 674, Bahria Town, Lahore",8220247,2025-10-27,20,Plot
48110-9219424-6,REGY-209167,C. Greene,Margaret Kelley,"House 769, Gulberg, Lahore",16676961,2023-09-25,5,Plot
36281-9132638-5,REGY-935092,Steven West,William Brown,"Flat 613, Johar Town, Lahore",7216731,2024-03-21,5,House
36388-3343910-8,REGY-631406,Melanie Lee,Jack Avery,"Flat 787, Bahria Town, Islamabad",9147978,2021-07-27,15,Commercial
14247-2688905-1,REGY-906671,C. Long,Dean Wiggins,"Flat 200, Bahria Town, Islamabad",56149862,2021-02-27,10,Apartment
16560-3885347-6,REGY-762745,S. Spencer,James Mathews,"Flat 461, Gulberg, Karachi",10611517,2025-07-23,20,Plot
53195-7107761-3,REGY-384346,Peter A. Thomas,Edward Walker,"House 807, Model Town, Lahore",6838634,2023-07-25,15,Apartment
83292-8633343-2,REGY-591569,Chaudhry Joshua Shaffer,Karen Miles,"House 807, Bahria Town, Rawalpindi",32185053,2021-01-27,5,Commercial
70476-1602279-1,REGY-222618,C. Rios,Christy Roth,"House 526, Johar Town, Lahore",11280780,2023-04-21,20,Commercial
64133-3214078-7,REGY-233438,Chaudhry Joshua Wilson,Amber Huff,"Flat 79, Model Town, Karachi",45025298,2022-08-08,20,Commercial
57112-3847051-2,REGY-519370,Nathaniel A. Leonard,Patricia Middleton,"Flat 6, Gulberg, Islamabad",5483421,2020-01-22,10,Commercial
29534-5383567-2,REGY-319761,Chaudhry Anne Carter,Cody Hall,"House 901, Bahria Town, Lahore",4280804,2022-06-02,15,House
30063-9323660-5,REGY-244867,Mr. Stephen Smith,Timothy Morris,"House 333, Gulberg, Karachi",11734715,2020-09-20,5,Apartment
31499-9983655-1,REGY-862403,R. Allen,Mike Morris,"Flat 376, Bahria Town, Islamabad",2775694,2023-05-25,20,Plot
62916-4413463-3,REGY-115962,Sean A. Cohen,Lynn Li,"Plot 745, Johar Town, Karachi",43643175,2022-08-27,20,Apartment
22451-1253527-2,REGY-168996,Chaudhry Jacob Fisher,Spencer Farmer,"House 501, Johar Town, Karachi",10894764,2021-01-13,15,Plot
40049-2460295-3,REGY-592522,P. Castillo,Chad Montgomery,"Plot 862, Model Town, Lahore",8445505,2021-06-10,15,House
65574-7597933-9,REGY-566160,Chaudhry William Alvarez,Kristine Webb,"House 299, Johar Town, Lahore",3877587,2021-08-14,20,Commercial
21052-4651120-4,REGY-354009,Mitchell A. Barnes,Veronica Robinson,"Plot 610, Johar Town, Lahore",3454736,2020-12-08,10,Commercial
42210-2225629-6,REGY-983191,Diane A. Bell,Benjamin Curry,"House 43, Bahria Town, Karachi",21254969,2021-11-17,20,Plot
49794-6739014-2,REGY-193740,Mr. Marc Ramsey,Tracy Arnold,"Kothi 607, Bahria Town, Lahore",9481727,2024-03-13,15,Commercial
51612-7911706-7,REGY-683730,Danielle Powell,James Allen,"House 91, Bahria Town, Karachi",22964408,2025-01-06,20,House
77030-3804065-3,REGY-135740,Mr. Allison Raymond,Scott Gomez,"Flat 789, Bahria Town, Karachi",9868620,2020-03-10,20,Plot
35978-4684998-6,REGY-935501,Mr. Kayla Williams,Andrew Butler,"House 3, Gulberg, Lahore",11422840,2022-09-06,15,House
75185-9817313-6,REGY-472608,Willie A. Webster,Jamie Bruce,"House 770, Johar Town, Lahore",7568412,2024-02-07,10,Apartment
36088-1844305-6,REGY-625066,Mr. Maria Chapman,Sarah Hughes,"Kothi 95, Model Town, Karachi",9320016,2020-11-06,20,House
74560-9325279-3,REGY-112553,P. Gray,Sarah Black,"Flat 849, Model Town, Lahore",19185403,2023-03-12,10,Commercial
71099-3763617-7,REGY-443867,J. Heath,Eugene Nicholson,"Kothi 845, Johar Town, Islamabad",5254025,2025-10-25,20,Plot
87803-9919963-2,REGY-157977,A. Thomas,Tammy Johnson,"House 992, Model Town, Karachi",8390203,2022-12-04,20,Plot
41471-4322116-8,REGY-470443,Amy A. Hensley,Robin Arroyo,"Plot 899, Gulberg, Lahore",6400741,2024-09-28,10,Commercial
61381-7623889-6,REGY-488589,Chaudhry Whitney Powers,Mrs. Rhonda Arnold DDS,"Kothi 416, DHA, Karachi",66566937,2022-03-23,5,Apartment
95521-6697399-7,REGY-934292,Chaudhry Monica Mcdaniel,Brenda Adams,"Flat 5, Model Town, Rawalpindi",5790209,2024-06-14,10,Plot
89145-1274367-2,REGY-182839,Jeffrey A. Reyes,Donna Maddox,"Kothi 429, Gulberg, Islamabad",6224910,2024-12-22,10,House
69963-3446625-6,REGY-867113,Jack A. Williams,Casey Livingston,"Plot 86, Model Town, Rawalpindi",2653346,2025-07-13,10,House
71071-1546416-5,REGY-554807,Benjamin Hood,Rebecca Clark,"Flat 91, Model Town, Karachi",8633920,2020-04-25,20,House
67937-7835784-9,REGY-566910,Jennifer Hunt,Lisa Robles,"Plot 124, Bahria Town, Lahore",7707179,2021-06-13,20,Commercial
59236-4088786-7,REGY-925794,C. Gonzalez,Kathryn Cantu,"Flat 341, Bahria Town, Islamabad",4195213,2024-10-19,15,Commercial
31943-4761457-6,REGY-105065,Carla A. Pena,Larry Robinson,"Kothi 316, Gulberg, Islamabad",7911384,2025-10-09,10,House
76421-4178403-3,REGY-395240,Alexandra Fields,William Pacheco,"Kothi 540, DHA, Lahore",16329265,2024-10-04,10,Apartment
32983-2740494-4,REGY-377261,K. Hays,Amy Church,"Kothi 579, Model Town, Islamabad",10418118,2024-03-23,15,House
98636-2692941-9,REGY-403712,Jason A. Spence,Emily Simmons,"Kothi 139, Model Town, Rawalpindi",9863406,2020-03-10,10,Commercial
19948-9628110-6,REGY-942768,Chaudhry Katherine Sutton,Angel Gonzalez,"Kothi 273, Model Town, Islamabad",7880514,2023-03-16,5,House
50020-7305937-9,REGY-492350,Brittany Noble,Angela Green,"House 929, Gulberg, Rawalpindi",3925578,2021-09-01,15,Apartment
57673-1301878-1,REGY-934534,Chaudhry Derrick Farmer,Tammy Thompson,"House 571, Gulberg, Rawalpindi",6889783,2022-05-10,15,Plot
50782-9598071-3,REGY-775693,Chaudhry Jennifer Mcdonald,Hailey Johnson,"Kothi 36, Model Town, Rawalpindi",53790254,2023-03-07,10,Plot
27955-1118619-5,REGY-927417,Kathryn Farmer,Toni English,"Plot 193, Johar Town, Lahore",6197185,2024-03-16,15,Commercial
61408-3912234-5,REGY-444015,Mr. Richard Riggs,Donald Clark,"Plot 299, Johar Town, Lahore",9187714,2020-04-09,5,House
65142-7837774-2,REGY-638464,Amber A. Anderson,John Curry,"Kothi 505, Model Town, Islamabad",4999909,2025-06-03,5,Apartment
52493-3715809-8,REGY-340214,George Wright,Nancy Campbell,"House 813, Johar Town, Islamabad",9898026,2024-03-26,10,Plot
28334-4368603-9,REGY-831017,Chaudhry Clinton Mitchell,Julie Moore,"House 167, Model Town, Karachi",8295209,2025-09-13,20,Apartment
99313-6234019-1,REGY-447341,Mason A. Shelton,Eugene Burke,"Flat 995, Gulberg, Islamabad",10586575,2021-05-02,10,Apartment
34529-5569266-5,REGY-155154,Mr. James Jones,Joseph Anderson,"Kothi 203, Johar Town, Islamabad",5981806,2020-12-14,10,Apartment
67448-7762509-2,REGY-111494,Kaitlyn A. Lowery,Ronald Cox,"Flat 371, Gulberg, Islamabad",3711087,2020-04-03,10,Plot
60530-8928178-5,REGY-228355,Shawna White,Mackenzie Weiss,"House 209, Johar Town, Rawalpindi",11241656,2022-06-09,20,House
75700-7849397-3,REGY-125197,Kathleen Shaw,Louis Stephens,"Flat 46, Bahria Town, Islamabad",3800010,2023-05-08,20,House
80212-8888969-9,REGY-797658,Chaudhry Jose Nichols,Michael Spencer,"Kothi 771, DHA, Islamabad",78710858,2023-12-18,5,Plot
61333-7085790-7,REGY-269968,J. Pugh,Matthew Ball,"Flat 872, DHA, Islamabad",16553655,2021-01-28,15,Commercial
68937-1197056-1,REGY-533189,Thomas Caldwell,Shelby Roberts,"Flat 363, Johar Town, Islamabad",10891148,2021-05-13,15,House
44802-5083170-2,REGY-348600,Samuel Cannon,Rhonda Anderson,"House 772, Johar Town, Rawalpindi",3064188,2022-09-24,20,Apartment
24584-6149722-3,REGY-677642,T. Ponce,Bonnie Cochran,"Plot 991, DHA, Rawalpindi",4920037,2022-12-15,15,Plot
61707-6733523-7,REGY-521293,Chaudhry Scott Anderson,Susan Graves,"Kothi 512, Model Town, Islamabad",7892105,2021-11-15,5,Apartment
34344-3406176-9,REGY-764154,Mr. Mark Barrera,Ariel Sanchez,"Kothi 686, Model Town, Karachi",21019206,2025-08-19,5,Commercial
37925-6682930-2,REGY-862483,Chaudhry Monica Edwards,Barbara Sandoval,"Kothi 69, Johar Town, Lahore",7971835,2025-08-17,15,House
85214-4951757-7,REGY-401919,Chaudhry Todd Hodges,Debra Hall,"Kothi 220, Johar Town, Islamabad",9751017,2023-04-11,10,Commercial
99068-3222286-3,REGY-668901,Chaudhry Jerry Jones,Melissa Nelson,"Plot 688, Bahria Town, Lahore",3923683,2023-05-01,5,House
47041-1561560-7,REGY-198192,Chaudhry Laurie Stevens,Brandon Taylor,"Flat 135, Gulberg, Islamabad",7008402,2022-12-20,15,House
18822-9540760-5,REGY-939744,Chaudhry Gavin Gray,Penny Schroeder,"Plot 926, Bahria Town, Islamabad",9221211,2020-12-03,20,Commercial
22299-7035464-2,REGY-328208,Kenneth A. Patel,Laurie Wade,"Flat 24, Johar Town, Lahore",3525608,2020-03-04,15,Plot
25969-6454978-4,REGY-483606,L. Velasquez,Joshua Gregory,"House 469, Bahria Town, Rawalpindi",6659971,2020-08-13,10,Apartment
46052-9445156-1,REGY-533655,John Terry,Robin Mitchell,"Kothi 605, Johar Town, Lahore",71213790,2020-07-07,20,Plot
15191-8844748-2,REGY-204809,Chaudhry Stephanie Michael,Arthur Parker,"Kothi 230, Model Town, Islamabad",72054947,2022-05-02,10,Plot
53389-9903545-4,REGY-936793,Tyler Harris,Angela Miller,"Plot 570, Bahria Town, Islamabad",4088063,2020-08-18,20,House
85698-1511547-4,REGY-937616,Lori A. Williamson,Michelle Baker,"Plot 30, Johar Town, Islamabad",5856071,2022-08-20,10,Commercial
65562-7281523-2,REGY-608145,Mark Walker,Caleb Hayes,"Flat 742, DHA, Lahore",9440610,2023-04-26,15,Commercial
62447-7548256-9,REGY-439638,Chaudhry Joshua Rodriguez,Mark Walters,"Kothi 232, DHA, Islamabad",10791863,2020-10-01,10,Commercial
79669-6526837-5,REGY-292435,B. Ortiz,Joshua Brown,"House 658, Gulberg, Karachi",66081673,2021-02-06,10,Commercial
66535-8616337-8,REGY-963109,Gregory A. Floyd,Susan Smith,"Plot 350, Johar Town, Karachi",10886993,2023-03-21,20,Commercial
24664-7759160-3,REGY-166328,Chaudhry Melissa Mason,Laura Hobbs,"Flat 778, Bahria Town, Lahore",13442372,2024-12-02,15,Apartment
77660-1277330-8,REGY-443857,Catherine Jackson,Marvin Barrett,"Plot 810, Bahria Town, Islamabad",23398119,2024-08-06,20,Plot
36368-5969919-1,REGY-600476,B. Robinson,Brian Pollard,"House 65, Model Town, Karachi",34759254,2024-10-04,5,Plot
64776-1218331-9,REGY-158525,D. Franklin,Tina Arnold,"Flat 572, Model Town, Karachi",11214620,2020-02-25,10,House
84105-6296204-6,REGY-423861,Paul A. Alvarez,Dorothy Hanna,"Flat 108, DHA, Karachi",22080100,2022-09-22,15,House
56564-8063523-1,REGY-618028,Natasha Perez,Anna Zamora,"Kothi 792, DHA, Islamabad",2896692,2024-03-23,20,House
23985-3581603-6,REGY-821651,Chaudhry Debbie Wright,Todd Lambert,"Kothi 498, DHA, Islamabad",11265844,2025-01-15,10,Commercial
51749-8990020-3,REGY-476711,Mr. Mallory James,Dr. Kelly Palmer,"House 541, Johar Town, Islamabad",12813511,2021-06-13,5,House
76576-7524770-4,REGY-111070,W. Collins,Heather Hartman,"Flat 258, DHA, Karachi",9777901,2024-11-07,20,Apartment
46478-9707181-7,REGY-564687,Chaudhry Barbara Garcia,Derek Singh,"Kothi 165, Gulberg, Karachi",6610451,2024-03-18,15,House
28129-1216017-2,REGY-403712,Chaudhry Alexander Thompson,Matthew Kelly,"Plot 746, Johar Town, Rawalpindi",9816904,2020-12-17,20,Apartment
13618-1153082-2,REGY-802721,Amanda A. Serrano,Eric Torres,"Kothi 800, DHA, Karachi",11461586,2024-10-24,5,Commercial
85082-9962101-2,REGY-499602,Chaudhry Jane Fitzpatrick,Walter Haynes,"Flat 347, Johar Town, Rawalpindi",5339666,2023-04-03,20,Plot
73508-4451412-1,REGY-109132,Mr. Kyle Powell,Mr. Alan Burnett,"Plot 210, Model Town, Rawalpindi",9381437,2021-10-10,20,Commercial
23633-2645161-3,REGY-531635,Chaudhry Eric Horton,Matthew Richardson,"Plot 451, Gulberg, Rawalpindi",11670846,2025-05-02,20,Plot
18854-1902061-8,REGY-889013,Mr. Karen Smith,Tyler Richards,"Plot 410, Bahria Town, Rawalpindi",10890488,2024-12-15,15,House
71828-3378606-2,REGY-603635,A. Luna,Sandra Walker,"Kothi 614, Gulberg, Lahore",2433600,2023-11-01,10,House
41273-4837270-1,REGY-603108,Mr. Jessica Steele,David Carlson,"Kothi 580, Bahria Town, Lahore",16105532,2021-10-09,20,House
41800-2573656-4,REGY-448330,Mr. Carmen Glenn,Mrs. Angela Marshall,"House 39, Gulberg, Lahore",10940249,2025-04-06,5,Plot
